Gene	MutSig(Q-value)	# Mut	#	Freq	Is Cancer Gene (source: OncoKB)
RSPH14		2	2	0.7%	No
SALL3		2	2	0.7%	No
ATAD2		2	2	0.7%	No
CCDC113		2	2	0.7%	No
TFPT		2	2	0.7%	Yes
PCDHB1		2	2	0.7%	No
PNMA3		2	2	0.7%	No
FSCN3		2	2	0.7%	No
NT5C		2	2	0.7%	No
CD209		2	2	0.7%	No
ZBTB21		2	2	0.7%	No
ARHGEF4		2	2	0.7%	No
ASAP1		2	2	0.7%	No
TAS2R1		2	2	0.7%	No
PDE11A		2	2	0.7%	No
PI15		2	2	0.7%	No
ZNF691		2	2	0.7%	No
FAM135B		2	2	0.7%	No
CALHM2		2	2	0.7%	No
PBDC1		2	2	0.7%	No
TLR7		2	2	0.7%	No
PCDH12		2	2	0.7%	No
SPTBN5		2	2	0.7%	No
SNX7		2	2	0.7%	No
TRPV2		2	2	0.7%	No
SUCO		2	2	0.7%	No
MAGEC2		2	2	0.7%	No
REV1		2	2	0.7%	No
LIMA1		2	2	0.7%	No
NT5DC3		2	2	0.7%	No
PCF11		2	2	0.7%	No
NBAS		2	2	0.7%	No
DYNC2LI1		2	2	0.7%	No
RAPGEF6		2	2	0.7%	No
ARID4B		2	2	0.7%	Yes
CDK12		2	2	0.7%	Yes
KDM3B		2	2	0.7%	No
ADAM22		2	2	0.7%	No
TLR9		2	2	0.7%	No
NLGN3		2	2	0.7%	No
SASH3		2	2	0.7%	No
PIMREG		2	2	0.7%	No
TRMT13		2	2	0.7%	No
PCDH18		2	2	0.7%	No
DDX4		2	2	0.7%	No
USP53		2	2	0.7%	No
RBFOX1		2	2	0.7%	No
PPP1R12C		2	2	0.7%	No
TET2		2	2	0.7%	Yes
DCHS2		2	2	0.7%	No
KLHL28		2	2	0.7%	No
TMEM104		2	2	0.7%	No
TTC12		2	2	0.7%	No
ZNF770		2	2	0.7%	No
TMEM248		2	2	0.7%	No
RNF31		2	2	0.7%	No
KIF26B		2	2	0.7%	No
ATG2B		2	2	0.7%	No
ANO1		2	2	0.7%	No
PLEKHG6		2	2	0.7%	No
BBS7		2	2	0.7%	No
NAT10		2	2	0.7%	No
RBM41		2	2	0.7%	No
WDR33		2	2	0.7%	No
HJURP		2	2	0.7%	No
ZNF331		2	2	0.7%	Yes
TRPV6		2	2	0.7%	No
GPRC5D		2	2	0.7%	No
STAB2		2	2	0.7%	No
CARMIL1		2	2	0.7%	No
KIF21A		3	2	0.7%	No
KIF16B		2	2	0.7%	No
TTC27		2	2	0.7%	No
AMBRA1		2	2	0.7%	No
GPATCH2L		2	2	0.7%	No
CCDC88A		2	2	0.7%	No
ZNF334		2	2	0.7%	No
CDK5RAP2		2	2	0.7%	No
TTC17		2	2	0.7%	No
FGD6		2	2	0.7%	No
ADCY10		2	2	0.7%	No
WWC3		2	2	0.7%	No
APOBR		2	2	0.7%	No
BAIAP2L1		2	2	0.7%	No
PCDHGA5		2	2	0.7%	No
PCDHGA1		2	2	0.7%	No
PCDHAC1		2	2	0.7%	No
PCDHA11		2	2	0.7%	No
PCDHA5		2	2	0.7%	No
PCDHA1		2	2	0.7%	No
RNF17		2	2	0.7%	No
BTNL2		2	2	0.7%	No
CYP26B1		2	2	0.7%	No
UGGT1		2	2	0.7%	No
ARNTL2		2	2	0.7%	No
PRDM11		2	2	0.7%	No
RARS2		2	2	0.7%	No
KNL1		2	2	0.7%	Yes
TRPC7		2	2	0.7%	No
PGLYRP4		2	2	0.7%	No
SCYL3		2	2	0.7%	No
THOC2		2	2	0.7%	No
ADAMTSL3		2	2	0.7%	No
MYORG		2	2	0.7%	No
SHROOM4		2	2	0.7%	No
USP31		2	2	0.7%	No
PRR12		2	2	0.7%	No
KIAA1324		2	2	0.7%	No
TAOK1		2	2	0.7%	No
CEP126		2	2	0.7%	No
SIPA1L2		2	2	0.7%	No
ZNF492		2	2	0.7%	No
SHROOM3		2	2	0.7%	No
ZFAT		2	2	0.7%	No
DPP10		2	2	0.7%	No
CHD8		2	2	0.7%	No
USP37		2	2	0.7%	No
FANCM		2	2	0.7%	No
EPG5		2	2	0.7%	No
SPTBN4		2	2	0.7%	No
CCNB1IP1		2	2	0.7%	Yes
PRDM13		2	2	0.7%	No
EXOC4		2	2	0.7%	No
BACH2		2	2	0.7%	Yes
DHX35		2	2	0.7%	No
PIEZO2		2	2	0.7%	No
TNN		2	2	0.7%	No
NPAS3		2	2	0.7%	No
XYLT1		2	2	0.7%	No
IFIH1		2	2	0.7%	No
SOX17		2	2	0.7%	Yes
COP1		2	2	0.7%	Yes
NFKBIZ		2	2	0.7%	No
ARAP3		2	2	0.7%	No
INF2		2	2	0.7%	No
VPS16		2	2	0.7%	No
HS3ST6		2	2	0.7%	No
P2RY12		2	2	0.7%	No
KRI1		2	2	0.7%	No
PRAMEF1		2	2	0.7%	No
PRAMEF2		2	2	0.7%	No
INTS3		2	2	0.7%	No
CARD14		2	2	0.7%	No
OR5H2		2	2	0.7%	No
CEP97		2	2	0.7%	No
MCPH1		2	2	0.7%	No
DYNC2H1		2	2	0.7%	No
FASTKD1		2	2	0.7%	No
LRRK1		2	2	0.7%	No
GSDMD		2	2	0.7%	No
HPS6		2	2	0.7%	No
QSER1		2	2	0.7%	No
PIP4K2C		2	2	0.7%	No
TREML2		2	2	0.7%	No
ZC3H14		2	2	0.7%	No
BTNL8		2	2	0.7%	No
PCNX2		2	2	0.7%	No
FBXL18		2	2	0.7%	No
SEMA6D		2	2	0.7%	No
ADAMTS20		2	2	0.7%	No
MAP3K19		2	2	0.7%	No
UXS1		2	2	0.7%	No
HKDC1		2	2	0.7%	No
CHD9		2	2	0.7%	No
FHOD3		2	2	0.7%	No
ARMC9		2	2	0.7%	No
CPEB4		2	2	0.7%	No
COL18A1		2	2	0.7%	No
ASXL3		2	2	0.7%	No
TAS1R2		2	2	0.7%	No
KDM7A		2	2	0.7%	No
OR8J3		2	2	0.7%	No
OR6N2		2	2	0.7%	No
OR6K2		2	2	0.7%	No
CFHR5		2	2	0.7%	No
NETO1		2	2	0.7%	No
PLVAP		2	2	0.7%	No
FERMT3		2	2	0.7%	No
TFAP2D		2	2	0.7%	No
ZNF484		2	2	0.7%	No
B3GNT5		2	2	0.7%	No
USP44		2	2	0.7%	No
LRRIQ1		2	2	0.7%	No
ANTXR1		2	2	0.7%	No
SLITRK6		2	2	0.7%	No
DRC7		2	2	0.7%	No
COQ5		2	2	0.7%	No
SRRM4		2	2	0.7%	No
KIAA1841		2	2	0.7%	No
COL25A1		2	2	0.7%	No
SPZ1		2	2	0.7%	No
PRRC2B		2	2	0.7%	No
FUT10		2	2	0.7%	No
ZBTB45		2	2	0.7%	No
FBH1		2	2	0.7%	No
CEP89		2	2	0.7%	No
COL27A1		2	2	0.7%	No
MICALL1		2	2	0.7%	No
HELZ2		2	2	0.7%	No
DCLK3		2	2	0.7%	No
LRRCC1		2	2	0.7%	No
DIXDC1		2	2	0.7%	No
NAV3		2	2	0.7%	No
ABCC10		2	2	0.7%	No
FCHSD1		2	2	0.7%	No
BMERB1		2	2	0.7%	No
PHLDB2		2	2	0.7%	No
HS6ST2		2	2	0.7%	No
FRMD7		2	2	0.7%	No
KLHL13		2	2	0.7%	No
IGFN1		2	2	0.7%	No
LMF2		2	2	0.7%	No
ZNF845		2	2	0.7%	No
YTHDC1		2	2	0.7%	No
SHKBP1		2	2	0.7%	No
TBC1D31		2	2	0.7%	No
TBCK		2	2	0.7%	No
FOXP2		2	2	0.7%	No
LRRC4B		2	2	0.7%	No
HTRA3		2	2	0.7%	No
SYTL4		2	2	0.7%	No
FOXQ1		2	2	0.7%	No
IL17F		2	2	0.7%	No
RPUSD1		2	2	0.7%	No
NLRP3		2	2	0.7%	No
PKD1L2		2	2	0.7%	No
ZBED9		2	2	0.7%	No
AGAP3		2	2	0.7%	No
MRGPRX3		2	2	0.7%	No
OR52M1		2	2	0.7%	No
FAT3		2	2	0.7%	No
RXFP2		2	2	0.7%	No
OR11H6		2	2	0.7%	No
TC2N		2	2	0.7%	No
AGBL1		2	2	0.7%	No
SLC38A10		2	2	0.7%	No
CANT1		2	2	0.7%	Yes
USH1G		2	2	0.7%	No
CD300LB		2	2	0.7%	No
OR1M1		2	2	0.7%	No
NLRP13		2	2	0.7%	No
EID2B		2	2	0.7%	No
GIPC3		2	2	0.7%	No
OR2M3		2	2	0.7%	No
OR2T4		2	2	0.7%	No
ASB17		2	2	0.7%	No
MYOM3		2	2	0.7%	No
DIS3L2		2	2	0.7%	No
KCNH8		2	2	0.7%	No
OTOP1		2	2	0.7%	No
TAF1L		2	2	0.7%	No
DCAF12L1		2	2	0.7%	No
PWWP3B		2	2	0.7%	No
AMER1		2	2	0.7%	Yes
DCAF8L1		2	2	0.7%	No
MAGEE2		2	2	0.7%	No
ACTRT1		2	2	0.7%	No
DOCK11		2	2	0.7%	No
KRTAP13-1		2	2	0.7%	No
RNF32		2	2	0.7%	No
OR52I2		2	2	0.7%	No
CWF19L2		2	2	0.7%	No
A2ML1		2	2	0.7%	No
ARMH4		2	2	0.7%	No
CEP128		2	2	0.7%	No
TTBK2		2	2	0.7%	No
DNAH2		2	2	0.7%	No
EFCAB3		2	2	0.7%	No
ZNF560		2	2	0.7%	No
ZNF681		2	2	0.7%	No
SLC35F3		2	2	0.7%	No
BPIFB4		2	2	0.7%	No
ZNF385B		2	2	0.7%	No
CCDC13		2	2	0.7%	No
FAM71B		2	2	0.7%	No
RNF145		2	2	0.7%	No
ZNF425		2	2	0.7%	No
RBM33		2	2	0.7%	No
KCNU1		2	2	0.7%	No
CBLL2		2	2	0.7%	No
USP51		2	2	0.7%	No
SLC5A8		2	2	0.7%	No
CLEC14A		2	2	0.7%	No
ZNF567		2	2	0.7%	No
CCDC185		2	2	0.7%	No
TMPRSS6		2	2	0.7%	No
TOGARAM2		2	2	0.7%	No
DQX1		2	2	0.7%	No
XIRP1		2	2	0.7%	No
DCLK2		2	2	0.7%	No
ADGRA3		2	2	0.7%	No
TRIM60		2	2	0.7%	No
CDC20B		2	2	0.7%	No
PRSS35		2	2	0.7%	No
ZNF679		2	2	0.7%	No
OLFML2A		2	2	0.7%	No
PWWP2B		2	2	0.7%	No
ADAMTS15		2	2	0.7%	No
ADAMTS16		2	2	0.7%	No
NLRP6		2	2	0.7%	No
DNAH10		2	2	0.7%	No
ARID2		2	2	0.7%	Yes
ADCY4		2	2	0.7%	No
TTC21A		2	2	0.7%	No
NLRP7		2	2	0.7%	No
PIKFYVE		2	2	0.7%	No
UNC13D		2	2	0.7%	No
HTRA4		2	2	0.7%	No
INTS6L		2	2	0.7%	No
NLRP11		2	2	0.7%	No
AMER3		2	2	0.7%	No
SLC36A1		2	2	0.7%	No
OR4C16		2	2	0.7%	No
OR5D14		2	2	0.7%	No
OR5D18		2	2	0.7%	No
OR5AS1		2	2	0.7%	No
OR5M3		2	2	0.7%	No
OR5M11		2	2	0.7%	No
ZNF804B		2	2	0.7%	No
OR5A1		2	2	0.7%	No
OOSP2		2	2	0.7%	No
ZNF438		2	2	0.7%	No
OPN5		2	2	0.7%	No
ADGRF4		2	2	0.7%	No
KIF6		2	2	0.7%	No
KIAA1324L		2	2	0.7%	No
FBXL13		2	2	0.7%	No
GPRC6A	3.260e-2	2	2	0.7%	No
RFX6		2	2	0.7%	No
GAS2L2		2	2	0.7%	No
EBF3		2	2	0.7%	No
LRRC43		2	2	0.7%	No
BCLAF3		2	2	0.7%	No
CATSPERD		2	2	0.7%	No
ZNF683		2	2	0.7%	No
NEGR1		2	2	0.7%	Yes
TAS2R40		2	2	0.7%	No
ADGRF1		2	2	0.7%	No
OR8B4		2	2	0.7%	No
CCDC88B		2	2	0.7%	No
CD163L1		2	2	0.7%	No
CEP170B		2	2	0.7%	No
C17ORF47		2	2	0.7%	No
NEK8		2	2	0.7%	No
OR2Z1		2	2	0.7%	No
WDR62		2	2	0.7%	No
NWD1		2	2	0.7%	No
OR14A16		2	2	0.7%	No
EPHA10		2	2	0.7%	No
SEC14L4		2	2	0.7%	No
RTP5		2	2	0.7%	No
IGSF10		2	2	0.7%	No
SLC9C1		2	2	0.7%	No
POM121L12		2	2	0.7%	No
ATP11C		2	2	0.7%	No
KRT6C		2	2	0.7%	No
DDX51		2	2	0.7%	No
KRT73		2	2	0.7%	No
NLRP14		2	2	0.7%	No
SLC6A19		2	2	0.7%	No
RTL5		2	2	0.7%	No
ZC3H12B		2	2	0.7%	No
HEPHL1		2	2	0.7%	No
FREM2		2	2	0.7%	No
KCNT2		2	2	0.7%	No
NCKAP5		2	2	0.7%	No
GPR149		2	2	0.7%	No
MACC1		2	2	0.7%	No
KIF24		2	2	0.7%	No
DGAT2L6		2	2	0.7%	No
HCN1		2	2	0.7%	No
ZNF429		2	2	0.7%	No
ZACN		2	2	0.7%	No
BPIFB3		2	2	0.7%	No
PEAR1		2	2	0.7%	No
MIA3		2	2	0.7%	No
NRROS		2	2	0.7%	No
C5ORF34	7.370e-2	2	2	0.7%	No
KRTAP10-12		2	2	0.7%	No
PCARE		2	2	0.7%	No
PRR23B		2	2	0.7%	No
XKR9		2	2	0.7%	No
OR52E8		2	2	0.7%	No
OR4X1		2	2	0.7%	No
OR5T3	7.950e-2	2	2	0.7%	No
OR5C1		2	2	0.7%	No
MYO18A		2	2	0.7%	Yes
PCNX3		2	2	0.7%	No
SLC25A53		2	2	0.7%	No
OR5H14	4.230e-2	2	2	0.7%	No
FNDC9		2	2	0.7%	No
DDI1		2	2	0.7%	No
GALNTL6		2	2	0.7%	No
OR10C1		2	2	0.7%	No
PTCHD4		2	2	0.7%	No
LMOD2		2	2	0.7%	No
RBMXL1		2	2	0.7%	No
CCDC30		2	2	0.7%	No
ABAT		1	1	0.3%	No
ABCA1		1	1	0.3%	No
ABCA2		1	1	0.3%	No
ABCA3		1	1	0.3%	No
ABCF1		1	1	0.3%	No
ABCA4		2	1	0.3%	No
ABL2		1	1	0.3%	Yes
ACADVL		1	1	0.3%	No
ACAT2		1	1	0.3%	No
ACTA2		1	1	0.3%	No
ACTN4		1	1	0.3%	No
ACTN3		1	1	0.3%	No
ACVR2B		1	1	0.3%	No
ACVRL1		1	1	0.3%	No
ADAM10		1	1	0.3%	No
ADARB1		1	1	0.3%	No
ADCY1		1	1	0.3%	No
ADCY2		1	1	0.3%	No
ADCY3		1	1	0.3%	No
ADCY5		1	1	0.3%	No
ADCY7		1	1	0.3%	No
ADCY9		1	1	0.3%	No
ADH1C		1	1	0.3%	No
ADH7		1	1	0.3%	No
ADK		1	1	0.3%	No
ADPRH		1	1	0.3%	No
PARP1		1	1	0.3%	Yes
ADRA1B		1	1	0.3%	No
ADRB2		1	1	0.3%	No
GRK3		1	1	0.3%	No
ADSL		1	1	0.3%	No
CRISP1		1	1	0.3%	No
AFM		1	1	0.3%	No
AGA		1	1	0.3%	No
APLNR		1	1	0.3%	Yes
AHR		1	1	0.3%	No
CRYBG1		1	1	0.3%	No
ALAS2		1	1	0.3%	No
ALB		1	1	0.3%	Yes
ALDH1A1		1	1	0.3%	No
ALDH1A3		1	1	0.3%	No
ALDH3B2		1	1	0.3%	No
ALOX12B		1	1	0.3%	Yes
ALPI		1	1	0.3%	No
AMPD1		1	1	0.3%	No
BIN1		1	1	0.3%	No
AMY2B		1	1	0.3%	No
ANK2		1	1	0.3%	No
ANXA6		1	1	0.3%	No
ANXA7		1	1	0.3%	No
AOX1		1	1	0.3%	No
APBA1		1	1	0.3%	No
APBA2		1	1	0.3%	No
APC		1	1	0.3%	Yes
APOA1		1	1	0.3%	No
FASLG		1	1	0.3%	No
AQP4		1	1	0.3%	No
RND3		1	1	0.3%	No
ARHGAP6		1	1	0.3%	No
ARHGDIB		1	1	0.3%	No
RHOH		1	1	0.3%	Yes
ARSD		1	1	0.3%	No
ARSE		1	1	0.3%	No
ARSF		1	1	0.3%	No
ASMT		1	1	0.3%	No
ASNS		1	1	0.3%	No
ASPH		1	1	0.3%	No
ASS1		1	1	0.3%	No
ZFHX3		1	1	0.3%	Yes
ATP12A		1	1	0.3%	No
ATP2B3		1	1	0.3%	Yes
ALDH7A1		1	1	0.3%	No
ATR		1	1	0.3%	Yes
KIF1A		1	1	0.3%	No
AVPR1A		1	1	0.3%	No
AXL		1	1	0.3%	Yes
AZU1		1	1	0.3%	No
BACH1		1	1	0.3%	No
BARD1		1	1	0.3%	Yes
BAX		1	1	0.3%	Yes
BBS1		1	1	0.3%	No
BBS4		1	1	0.3%	No
BCAT2		1	1	0.3%	No
BCL6		1	1	0.3%	Yes
HCN2		1	1	0.3%	No
BFSP1		1	1	0.3%	No
BGN		1	1	0.3%	No
BICD1		1	1	0.3%	No
BLK		1	1	0.3%	No
BMP4		1	1	0.3%	No
BMPR1B		1	1	0.3%	No
POLR3D		1	1	0.3%	No
BNIP2		1	1	0.3%	No
BRS3		1	1	0.3%	No
BTC		1	1	0.3%	No
KLF5		1	1	0.3%	Yes
BUB1		1	1	0.3%	No
SERPING1		1	1	0.3%	No
C4BPA		1	1	0.3%	No
C4BPB		1	1	0.3%	No
C6		1	1	0.3%	No
C7		1	1	0.3%	No
C8B		1	1	0.3%	No
VPS51		1	1	0.3%	No
FMNL1		1	1	0.3%	No
CFAP410		1	1	0.3%	No
CA1		1	1	0.3%	No
CA5A		1	1	0.3%	No
CA12		1	1	0.3%	No
CACNA1A		1	1	0.3%	No
CACNA1B		1	1	0.3%	No
CACNA1D		1	1	0.3%	Yes
CACNB3		1	1	0.3%	No
CALCR		1	1	0.3%	No
CALML3		1	1	0.3%	No
CALR		1	1	0.3%	Yes
CAPN3		1	1	0.3%	No
CAST		1	1	0.3%	No
CASP1		1	1	0.3%	No
RUNX2		1	1	0.3%	Yes
CBFA2T3		1	1	0.3%	Yes
RUNX3		1	1	0.3%	No
CBLB		1	1	0.3%	Yes
CCIN		1	1	0.3%	No
CCNB1		1	1	0.3%	No
CCNC		1	1	0.3%	No
CCNF		1	1	0.3%	No
CCNG2		1	1	0.3%	No
CCNT1		1	1	0.3%	No
MS4A1		1	1	0.3%	No
CD28		1	1	0.3%	Yes
CD36		1	1	0.3%	Yes
ENTPD6		1	1	0.3%	No
ENTPD5		1	1	0.3%	No
CD58		1	1	0.3%	Yes
CD70		1	1	0.3%	Yes
LRBA		2	1	0.3%	No
CDC5L		1	1	0.3%	No
SEPTIN7		1	1	0.3%	No
CDC20		1	1	0.3%	No
CDC34		1	1	0.3%	No
CDH1		1	1	0.3%	Yes
CDH5		1	1	0.3%	No
CDH9		1	1	0.3%	No
CDH10		1	1	0.3%	No
CDH13		1	1	0.3%	No
CDH15		1	1	0.3%	No
CDH17		1	1	0.3%	No
CDH18		1	1	0.3%	No
CDKN2A		1	1	0.3%	Yes
CDKN2C		1	1	0.3%	Yes
CDKN3		1	1	0.3%	No
CDR2		1	1	0.3%	No
CENPA		1	1	0.3%	Yes
CENPF		1	1	0.3%	No
CETN1		1	1	0.3%	No
CETN3		1	1	0.3%	No
CFL1		1	1	0.3%	No
CTSC		1	1	0.3%	No
RCBTB2		1	1	0.3%	No
CHD1		1	1	0.3%	No
CHD2		1	1	0.3%	Yes
CHGB		1	1	0.3%	No
CHRM1		1	1	0.3%	No
CHRM5		1	1	0.3%	No
CHRNA5		1	1	0.3%	No
CHRNB4		1	1	0.3%	No
CHRNE		1	1	0.3%	No
CISH		1	1	0.3%	No
CKS2		1	1	0.3%	No
AP2M1		1	1	0.3%	No
AP1S1		1	1	0.3%	No
CLCA1		1	1	0.3%	No
CLCN6		1	1	0.3%	No
CLCN7		1	1	0.3%	No
CLCNKB		1	1	0.3%	No
CLU		1	1	0.3%	No
CLIC1		1	1	0.3%	No
CLIC2		1	1	0.3%	No
CLK1		1	1	0.3%	No
CLN5		1	1	0.3%	No
CLTC		1	1	0.3%	Yes
CMA1		1	1	0.3%	No
CCR7		1	1	0.3%	No
CMKLR1		1	1	0.3%	No
CNGB1		1	1	0.3%	No
CNGA1		1	1	0.3%	No
CNGA2		1	1	0.3%	No
CNGA3		1	1	0.3%	No
CNTFR		1	1	0.3%	No
COL2A1		1	1	0.3%	Yes
COL4A4		1	1	0.3%	No
COL5A1		1	1	0.3%	No
COL5A2		1	1	0.3%	No
COL8A1		1	1	0.3%	No
COL9A1		1	1	0.3%	No
COL9A2		1	1	0.3%	No
COL11A1		1	1	0.3%	No
COL12A1		1	1	0.3%	No
COL17A1		1	1	0.3%	No
COL19A1		1	1	0.3%	No
CP		1	1	0.3%	No
CRAT		1	1	0.3%	No
ATF2		1	1	0.3%	No
CRHBP		1	1	0.3%	No
HAPLN1		1	1	0.3%	No
CRX		1	1	0.3%	No
CRYAA		1	1	0.3%	No
CRYBB2		1	1	0.3%	No
CRYGB		1	1	0.3%	No
CSH1		1	1	0.3%	No
CSH2		1	1	0.3%	No
CSHL1		1	1	0.3%	No
CSN3		1	1	0.3%	No
CSNK1G2		1	1	0.3%	No
CSTF1		1	1	0.3%	No
CSTF2		1	1	0.3%	No
CSTF3		1	1	0.3%	No
CTNNA2		1	1	0.3%	No
CTNS		1	1	0.3%	No
CTNNB1		1	1	0.3%	Yes
CTSG		1	1	0.3%	No
CTSV		1	1	0.3%	No
CTSO		1	1	0.3%	No
CTSZ		1	1	0.3%	No
CYBB		1	1	0.3%	No
CYLC1		1	1	0.3%	No
CYP3A7		1	1	0.3%	No
CYP2B6		1	1	0.3%	No
CYP2C18		1	1	0.3%	No
CYP4A11		1	1	0.3%	No
CYP24A1		1	1	0.3%	No
DAD1		1	1	0.3%	No
DAG1		1	1	0.3%	No
DAP		1	1	0.3%	No
DAPK1		1	1	0.3%	No
DAPK3		1	1	0.3%	No
BRINP1		1	1	0.3%	No
DBH		1	1	0.3%	No
DBT		1	1	0.3%	No
DCTD		1	1	0.3%	No
ACE		1	1	0.3%	No
DCTN1		1	1	0.3%	Yes
DDB2		1	1	0.3%	Yes
DDC		1	1	0.3%	No
AKR1C1		1	1	0.3%	No
DDIT3		1	1	0.3%	Yes
DDX3X		1	1	0.3%	Yes
DEFA4		1	1	0.3%	No
COCH		1	1	0.3%	No
DIAPH1		1	1	0.3%	No
DIO2		1	1	0.3%	No
DLG3		1	1	0.3%	No
DLX4		1	1	0.3%	No
DNAH6		1	1	0.3%	No
DNASE1L3		1	1	0.3%	No
DYNC1I2		1	1	0.3%	No
TRDMT1		1	1	0.3%	No
DNTT		1	1	0.3%	No
DOCK2		1	1	0.3%	No
DRP2		1	1	0.3%	No
ATN1		1	1	0.3%	No
DSC1		1	1	0.3%	No
DSC2		1	1	0.3%	No
DSC3		1	1	0.3%	No
DSG3		1	1	0.3%	No
SLC26A2		1	1	0.3%	No
DTX1		1	1	0.3%	Yes
DVL2		1	1	0.3%	No
TYMP		1	1	0.3%	No
ECM1		1	1	0.3%	No
ECT2		1	1	0.3%	No
EDA		1	1	0.3%	No
EDN2		1	1	0.3%	No
PHC2		1	1	0.3%	No
EEF1D		1	1	0.3%	No
EFNB3		1	1	0.3%	No
CELSR2		1	1	0.3%	No
MEGF6		1	1	0.3%	No
MEGF8		1	1	0.3%	No
MEGF9		1	1	0.3%	No
EIF4A2		1	1	0.3%	Yes
EIF4B		1	1	0.3%	No
ELANE		1	1	0.3%	No
ELAVL2		1	1	0.3%	No
ELF3		1	1	0.3%	Yes
EML1		1	1	0.3%	No
MARK2		1	1	0.3%	No
ADGRE1		1	1	0.3%	No
CTTN		1	1	0.3%	No
EPAS1		1	1	0.3%	Yes
DMTN		1	1	0.3%	No
STOM		1	1	0.3%	No
EPHA7		1	1	0.3%	Yes
EPHA8		1	1	0.3%	No
EPHB6		1	1	0.3%	No
EPHX1		1	1	0.3%	No
CLN8		1	1	0.3%	No
ERBB2		1	1	0.3%	Yes
ERBB4		1	1	0.3%	Yes
EYA4		1	1	0.3%	No
ERCC4		1	1	0.3%	Yes
ERG		1	1	0.3%	Yes
ESRRB		1	1	0.3%	No
ESRRG		1	1	0.3%	No
ETV3		1	1	0.3%	No
ETV5		1	1	0.3%	Yes
EVI2B		1	1	0.3%	No
EVPL		1	1	0.3%	No
EWSR1		1	1	0.3%	Yes
EXT1		1	1	0.3%	Yes
EXT2		1	1	0.3%	Yes
EYA3		1	1	0.3%	No
EZH1		1	1	0.3%	Yes
F7		1	1	0.3%	No
FANCC		1	1	0.3%	Yes
FANCE		1	1	0.3%	Yes
FBLN2		1	1	0.3%	No
EFEMP1		1	1	0.3%	No
FGA		1	1	0.3%	No
FGB		1	1	0.3%	No
FGF6		1	1	0.3%	Yes
FGF14		1	1	0.3%	Yes
GPC5		1	1	0.3%	No
FGFR2		1	1	0.3%	Yes
FGFR4		1	1	0.3%	Yes
FGG		1	1	0.3%	No
FKBP3		1	1	0.3%	No
FKBP5		1	1	0.3%	No
FOXM1		1	1	0.3%	No
FLT4		1	1	0.3%	Yes
FMO1		1	1	0.3%	No
FMR1		1	1	0.3%	No
FN1		1	1	0.3%	No
FOSB		1	1	0.3%	No
FPR1		1	1	0.3%	No
FSHR		1	1	0.3%	No
NR5A2		1	1	0.3%	No
FTH1		1	1	0.3%	No
FUCA2		1	1	0.3%	No
FUS		1	1	0.3%	Yes
FUT5		1	1	0.3%	No
GABRA3		1	1	0.3%	No
GABRB1		1	1	0.3%	No
GABRE		1	1	0.3%	No
GABRG2		1	1	0.3%	No
GABRG3		1	1	0.3%	No
GAK		1	1	0.3%	No
GALC		1	1	0.3%	No
GALR1		1	1	0.3%	No
GALNT1		1	1	0.3%	No
GANC		1	1	0.3%	No
LRRC32		1	1	0.3%	No
GARS		1	1	0.3%	No
GAS2		1	1	0.3%	No
GATA4		1	1	0.3%	Yes
GBP2		1	1	0.3%	No
GBP3		1	1	0.3%	No
MSTN		1	1	0.3%	No
GFAP		1	1	0.3%	No
GGT5		1	1	0.3%	No
GH1		1	1	0.3%	No
GHR		1	1	0.3%	No
GJA1		1	1	0.3%	No
GJA3		1	1	0.3%	No
GJA8		1	1	0.3%	No
GJB2		1	1	0.3%	No
GK		1	1	0.3%	No
GLDC		1	1	0.3%	No
GLI1		1	1	0.3%	Yes
GLI3		1	1	0.3%	No
GLRA1		1	1	0.3%	No
GLRB		1	1	0.3%	No
GLUD1		1	1	0.3%	No
GLUD2		1	1	0.3%	No
GM2A		1	1	0.3%	No
GMDS		1	1	0.3%	No
GMPR		1	1	0.3%	No
GNAS		1	1	0.3%	Yes
GNL1		1	1	0.3%	No
GNRHR		1	1	0.3%	No
GOLGB1		1	1	0.3%	No
CCR10		1	1	0.3%	No
GPR15		1	1	0.3%	No
GPR17		1	1	0.3%	No
GPR20		1	1	0.3%	No
GPR22		1	1	0.3%	No
LPAR4		1	1	0.3%	No
GPR25		1	1	0.3%	No
GPR26		1	1	0.3%	No
GPER1		1	1	0.3%	No
GPR32		1	1	0.3%	No
GPR35		1	1	0.3%	No
FFAR1		1	1	0.3%	No
GRK4		1	1	0.3%	No
GPS2		1	1	0.3%	Yes
GRID2		1	1	0.3%	No
GRIK2		1	1	0.3%	No
GRIK4		1	1	0.3%	No
GRIN2A		1	1	0.3%	Yes
GRINA		1	1	0.3%	No
NR3C1		1	1	0.3%	No
ARHGAP35		1	1	0.3%	Yes
GRM3		1	1	0.3%	Yes
GRM5		1	1	0.3%	No
GRM6		2	1	0.3%	No
GSPT1		1	1	0.3%	No
GTF2E1		1	1	0.3%	No
GTF2H4		1	1	0.3%	No
BRF1		1	1	0.3%	No
GUCA1A		1	1	0.3%	No
GUCY1A1		1	1	0.3%	No
GYG1		1	1	0.3%	No
HIST1H1C		1	1	0.3%	Yes
H2AFX		1	1	0.3%	No
HAL		1	1	0.3%	No
HARS		1	1	0.3%	No
HAS1		1	1	0.3%	No
HAS3		1	1	0.3%	No
HBD		1	1	0.3%	No
HBE1		1	1	0.3%	No
HCLS1		1	1	0.3%	No
