Gene	Gistic(Q-value)	Cytoband	CNA	#	Freq	Is Cancer Gene (source: OncoKB)
RAD54B		8q22.1	AMP	17	3.3%	No
VIRMA		8q22.1	AMP	17	3.3%	No
HBP1	1.553e-7	7q22.3	AMP	17	3.3%	No
PDLIM3		4q35.1	DEL	17	3.3%	No
APEX2		Xp11.21	AMP	17	3.3%	No
RNF141		11p15.4|11p15	DEL	17	3.3%	No
CLDN22		4q35.1	DEL	17	3.3%	No
PLEKHA5		12p12.3	AMP	17	3.3%	No
PUS7	1.553e-7	7q22.3	AMP	17	3.3%	No
GNL3L		Xp11.22	AMP	17	3.3%	No
PDP1		8q22.1	AMP	17	3.3%	No
ESRP1		8q22.1	AMP	17	3.3%	No
FAM120C		Xp11.22	AMP	17	3.3%	No
C19ORF24		19p13.3	AMP	17	3.3%	No
UFSP2		4q35.1	DEL	17	3.3%	No
CDKN2AIP		4q35.1	DEL	17	3.3%	No
INTS8		8q22.1	AMP	17	3.3%	No
LRP2BP		4q35.1	DEL	17	3.3%	No
BCAP29	1.553e-7	7q22.3	AMP	17	3.3%	No
CFAP97		4q35.1	DEL	17	3.3%	No
MARK4		19q13.32	DEL	17	3.3%	No
ZBED5		11p15.4	DEL	17	3.3%	No
RINT1	1.553e-7	7q22.3	AMP	17	3.3%	No
COPS7B		2q37.1	DEL	17	3.3%	No
SLC26A10		12q13.3	AMP	17	3.3%	No
WNK3		Xp11.22	AMP	17	3.3%	No
TRAPPC6A		19q13.32	DEL	17	3.3%	No
CENPU		4q35.1	DEL	17	3.3%	No
GEMIN7		19q13.32	DEL	17	3.3%	No
OPA3		19q13.32	DEL	17	3.3%	No
OR4F17		19p13.3	AMP	17	3.3%	No
VOPP1		7p11.2	AMP	17	3.3%	No
SNX25		4q35.1	DEL	17	3.3%	No
MIDN		19p13.3	AMP	17	3.3%	No
TSR2		Xp11.22	AMP	17	3.3%	No
EXOC3L2		19q13.32	DEL	17	3.3%	No
FAM104B		Xp11.21	AMP	17	3.3%	No
TMEM67		8q22.1	AMP	17	3.3%	No
ARHGEF25		12q13.3	AMP	17	3.3%	No
WDR17		4q34.2	DEL	17	3.3%	No
IZUMO2		19q13.33	DEL	17	3.3%	No
MOB3A		19p13.3	AMP	17	3.3%	No
FAM92A		8q22.1	AMP	17	3.3%	No
PPM1N		19q13.32	DEL	17	3.3%	No
KLC3		19q13.32	DEL	17	3.3%	No
ZNF296		19q13.32	DEL	17	3.3%	No
CCDC71L	1.553e-7	7q22.3	AMP	17	3.3%	No
DTX3		12q13.3	AMP	17	3.3%	No
PRIMPOL		4q35.1	DEL	17	3.3%	No
PAGE2		Xp11.21	AMP	17	3.3%	No
ATXN7L1	1.553e-7	7q22.3	AMP	17	3.3%	No
CDHR3	1.553e-7	7q22.3	AMP	17	3.3%	No
CBARP		19p13.3	AMP	17	3.3%	No
CCDC110		4q35.1	DEL	17	3.3%	No
TAS2R43		12p13.2	AMP	17	3.3%	No
TAS2R31		12p13.2	AMP	17	3.3%	No
TAS2R46		12p13.2	AMP	17	3.3%	No
TAS2R30		12p13.2	AMP	17	3.3%	No
TAS2R19		12p13.2	AMP	17	3.3%	No
TAS2R20		12p13.2	AMP	17	3.3%	No
TAS2R50		12p13.2	AMP	17	3.3%	No
CSNK2A3		11p15.4	DEL	17	3.3%	No
PPP1R37		19q13.32	DEL	17	3.3%	No
NKPD1		19q13.32	DEL	17	3.3%	No
DPY19L4		8q22.1	AMP	17	3.3%	No
TAS2R64P		12p13.2	AMP	17	3.3%	No
TAS2R42		12p13.2	AMP	17	3.3%	No
ANKRD37		4q35.1	DEL	17	3.3%	No
WASH5P		19p13.3	AMP	17	3.3%	No
BLOC1S3		19q13.32	DEL	17	3.3%	No
RBM12B		8q22.1	AMP	17	3.3%	No
PAGE2B		Xp11.21	AMP	17	3.3%	No
HELT		4q35.1	DEL	17	3.3%	No
C4ORF47		4q35.1	DEL	17	3.3%	No
FAM138F		19p13.3	AMP	17	3.3%	No
SNORD97		11p15.4	DEL	17	3.3%	No
EFCAB10	1.553e-7	7q22.3	AMP	17	3.3%	No
CLDN24		4q35.1	DEL	17	3.3%	No
MTRNR2L8		11p15.4	DEL	17	3.3%	No
RNU6ATAC33P		11p15.4	DEL	17	3.3%	No
MIR-4751/4751			DEL	16	3.1%	No
MIR-4324/4324			DEL	16	3.1%	No
MIR-4321/4321			AMP	16	3.1%	No
MIR-4299/4299			DEL	16	3.1%	No
MIR-1227/1227			AMP	16	3.1%	No
ADAM8	4.379e-20	10q26.3	DEL	16	3.1%	No
AP2A1		19q13.33	DEL	16	3.1%	No
AGA		4q34.3	DEL	16	3.1%	No
AMH		19p13.3	AMP	16	3.1%	No
BAX		19q13.33	DEL	16	3.1%	Yes
CD3E		11q23.3	AMP	16	3.1%	No
CD37		19q13.33	DEL	16	3.1%	No
CLCN3		4q33	DEL	16	3.1%	No
CRX		19q13.33	DEL	16	3.1%	No
CSNK1G2		19p13.3	AMP	16	3.1%	No
CYP2E1	4.379e-20	10q26.3	DEL	16	3.1%	No
DMPK		19q13.32	DEL	16	3.1%	No
DMWD		19q13.32	DEL	16	3.1%	No
ECHS1	4.379e-20	10q26.3	DEL	16	3.1%	No
EFNA2		19p13.3	AMP	16	3.1%	No
ETV6		12p13.2	AMP	16	3.1%	Yes
FCGRT		19q13.33	DEL	16	3.1%	No
FLT3LG		19q13.33	DEL	16	3.1%	No
FOSB		19q13.32	DEL	16	3.1%	No
GAMT		19p13.3	AMP	16	3.1%	No
GEM		8q22.1	AMP	16	3.1%	No
GNG7		19p13.3	AMP	16	3.1%	No
HMGB2		4q34.1	DEL	16	3.1%	No
FOXA3		19q13.32	DEL	16	3.1%	No
PRMT1		19q13.33	DEL	16	3.1%	No
IDI1	1.957e-5	10p15.3	AMP	16	3.1%	No
ING2		4q35.1	DEL	16	3.1%	No
IRF2		4q35.1	DEL	16	3.1%	Yes
IRF3		19q13.33	DEL	16	3.1%	No
LIG1		19q13.33	DEL	16	3.1%	No
MATK		19p13.3	AMP	16	3.1%	No
GADD45B		19p13.3	AMP	16	3.1%	Yes
NOVA2		19q13.32	DEL	16	3.1%	No
OAZ1		19p13.3	AMP	16	3.1%	No
PDE3A		12p12.2	AMP	16	3.1%	No
PDE6D		2q37.1	DEL	16	3.1%	No
PRB1		12p13.2	AMP	16	3.1%	No
PRRG2		19q13.33	DEL	16	3.1%	No
RELN	1.553e-7	7q22.1	AMP	16	3.1%	Yes
RELB		19q13.32	DEL	16	3.1%	No
RN7SL5P	2.811e-14	9p23	DEL	16	3.1%	No
RN7SL8P	1.553e-7	7q22.3	AMP	16	3.1%	No
RPS11		19q13.33	DEL	16	3.1%	No
RPS15		19p13.3	AMP	16	3.1%	No
RRAS		19q13.33	DEL	16	3.1%	Yes
TCF3		19p13.3	AMP	16	3.1%	Yes
VEGFC		4q34.3	DEL	16	3.1%	No
SF3A2		19p13.3	AMP	16	3.1%	No
SYMPK		19q13.32	DEL	16	3.1%	No
UTF1	4.379e-20	10q26.3	DEL	16	3.1%	No
TEAD2		19q13.33	DEL	16	3.1%	No
PLA2G4C		19q13.33	DEL	16	3.1%	No
AP3D1		19p13.3	AMP	16	3.1%	No
PGLYRP1		19q13.32	DEL	16	3.1%	No
DHX34		19q13.32	DEL	16	3.1%	No
MFAP3L		4q33	DEL	16	3.1%	No
SAE1		19q13.32	DEL	16	3.1%	No
MPZL2		11q23.3	AMP	16	3.1%	No
APC2		19p13.3	AMP	16	3.1%	No
RRAGB		Xp11.21	AMP	16	3.1%	No
ZMYND11	1.957e-5	10p15.3	AMP	16	3.1%	No
TUBGCP2	4.379e-20	10q26.3	DEL	16	3.1%	No
UQCR11		19p13.3	AMP	16	3.1%	No
PNKP		19q13.33	DEL	16	3.1%	No
ATF5		19q13.33	DEL	16	3.1%	No
WDR37	1.957e-5	10p15.3	AMP	16	3.1%	No
CARD8		19q13.33	DEL	16	3.1%	No
DIP2C	1.957e-5	10p15.3	AMP	16	3.1%	No
LARP4B	1.957e-5	10p15.3	AMP	16	3.1%	No
ZC3H4		19q13.32	DEL	16	3.1%	No
ZFR2		19p13.3	AMP	16	3.1%	No
RPL13A		19q13.33	DEL	16	3.1%	No
GTPBP4	1.957e-5	10p15.3	AMP	16	3.1%	No
NUP62		19q13.33	DEL	16	3.1%	No
SLC24A2		9p22.1-p21.3	DEL	16	3.1%	No
ZNF473		19q13.33	DEL	16	3.1%	No
IRF2BP1		19q13.32	DEL	16	3.1%	No
FBXO8		4q34.1	DEL	16	3.1%	No
DAZAP1		19p13.3	AMP	16	3.1%	No
OR8B2	6.100e-5	11q24.2	AMP	16	3.1%	No
SNORD79		1q25.1	DEL	16	3.1%	No
SNORD35A		19q13.33	DEL	16	3.1%	No
SNORD34		19q13.33	DEL	16	3.1%	No
SNORD32A		19q13.33	DEL	16	3.1%	No
DKKL1		19q13.33	DEL	16	3.1%	No
VENTX	4.379e-20	10q26.3	DEL	16	3.1%	No
DHDH		19q13.33	DEL	16	3.1%	No
SLC6A16		19q13.33	DEL	16	3.1%	No
MAGEH1		Xp11.21	AMP	16	3.1%	No
UBQLN2		Xp11.21	AMP	16	3.1%	No
CALY	4.379e-20	10q26.3	DEL	16	3.1%	No
SPOCK3		4q32.3	DEL	16	3.1%	No
NOSIP		19q13.33	DEL	16	3.1%	No
AADAT		4q33	DEL	16	3.1%	No
VRK3		19q13.33	DEL	16	3.1%	No
LSM7		19p13.3	AMP	16	3.1%	No
GALNT7		4q34.1	DEL	16	3.1%	No
MBD3		19p13.3	AMP	16	3.1%	No
PTOV1		19q13.33	DEL	16	3.1%	No
PCSK4		19p13.3	AMP	16	3.1%	No
HPF1		4q33	DEL	16	3.1%	No
USP47		11p15.3	DEL	16	3.1%	No
PLEKHJ1		19p13.3	AMP	16	3.1%	No
NEIL3		4q34.3	DEL	16	3.1%	No
BTBD2		19p13.3	AMP	16	3.1%	No
KMT2E	1.553e-7	7q22.3	AMP	16	3.1%	No
SPPL2B		19p13.3	AMP	16	3.1%	No
STOX2		4q35.1	DEL	16	3.1%	No
SLC17A7		19q13.33	DEL	16	3.1%	No
RCN3		19q13.33	DEL	16	3.1%	No
REXO1		19p13.3	AMP	16	3.1%	No
PRR12		19q13.33	DEL	16	3.1%	No
SH3RF1		4q32.3-q33	DEL	16	3.1%	No
SCAF1		19q13.33	DEL	16	3.1%	No
TSKS		19q13.33	DEL	16	3.1%	No
TRAPPC11		4q35.1	DEL	16	3.1%	No
TBC1D17		19q13.33	DEL	16	3.1%	No
RERGL		12p12.3	AMP	16	3.1%	No
PIP4K2C		12q13.3	AMP	16	3.1%	No
FUZ		19q13.33	DEL	16	3.1%	No
RSPH6A		19q13.32	DEL	16	3.1%	No
MED25		19q13.33	DEL	16	3.1%	No
ABHD17A		19p13.3	AMP	16	3.1%	No
BCL2L12		19q13.33	DEL	16	3.1%	No
KLF16		19p13.3	AMP	16	3.1%	No
AKT1S1		19q13.33	DEL	16	3.1%	No
DOT1L		19p13.3	AMP	16	3.1%	Yes
SNORD35B		19q13.33	DEL	16	3.1%	No
CBR4		4q32.3	DEL	16	3.1%	No
PWWP3A		19p13.3	AMP	16	3.1%	No
KNDC1	4.379e-20	10q26.3	DEL	16	3.1%	No
PAGE5		Xp11.21	AMP	16	3.1%	No
IDI2	1.957e-5	10p15.3	AMP	16	3.1%	No
MTG1	4.379e-20	10q26.3	DEL	16	3.1%	No
REEP6		19p13.3	AMP	16	3.1%	No
SYCE1	4.379e-20	10q26.3	DEL	16	3.1%	No
PTH2		19q13.33	DEL	16	3.1%	No
IZUMO4		19p13.3	AMP	16	3.1%	No
SCAMP4		19p13.3	AMP	16	3.1%	No
ADAT3		19p13.3	AMP	16	3.1%	No
SIGLEC11		19q13.33	DEL	16	3.1%	No
PRAP1	4.379e-20	10q26.3	DEL	16	3.1%	No
ZNF511	4.379e-20	10q26.3	DEL	16	3.1%	No
AEBP2		12p12.3	AMP	16	3.1%	No
CPT1C		19q13.33	DEL	16	3.1%	No
ALDH16A1		19q13.33	DEL	16	3.1%	No
JSRP1		19p13.3	AMP	16	3.1%	No
PLK5		19p13.3	AMP	16	3.1%	No
SPATA4		4q34.2	DEL	16	3.1%	No
ENPP6		4q35.1	DEL	16	3.1%	No
FOXR2		Xp11.21	AMP	16	3.1%	No
PAGE3		Xp11.21	AMP	16	3.1%	No
ASB5		4q34.2	DEL	16	3.1%	No
CCDC155		19q13.33	DEL	16	3.1%	No
SIX5		19q13.32	DEL	16	3.1%	No
IGFL2		19q13.32	DEL	16	3.1%	No
C19ORF25		19p13.3	AMP	16	3.1%	No
ATP8B3		19p13.3	AMP	16	3.1%	No
USP51		Xp11.21	AMP	16	3.1%	No
ZNF114		19q13.33	DEL	16	3.1%	No
PAOX	4.379e-20	10q26.3	DEL	16	3.1%	No
ADM5		19q13.33	DEL	16	3.1%	No
RWDD4		4q35.1	DEL	16	3.1%	No
IL4I1		19q13.33	DEL	16	3.1%	No
FUOM	4.379e-20	10q26.3	DEL	16	3.1%	No
TUSC1		9p21.2	DEL	16	3.1%	No
MYPOP		19q13.32	DEL	16	3.1%	No
NANOS2		19q13.32	DEL	16	3.1%	No
ADAMTSL5		19p13.3	AMP	16	3.1%	No
TUBB8	1.957e-5	10p15.3	AMP	16	3.1%	No
NDUFS7		19p13.3	AMP	16	3.1%	No
PEAK3		19p13.3	AMP	16	3.1%	No
ZSWIM9		19q13.33	DEL	16	3.1%	No
IGFL3		19q13.32	DEL	16	3.1%	No
OR8B3	6.100e-5	11q24.2	AMP	16	3.1%	No
ONECUT3		19p13.3	AMP	16	3.1%	No
MEX3D		19p13.3	AMP	16	3.1%	No
LINC00200	1.957e-5	10p15.3	AMP	16	3.1%	No
SIGLEC16		19q13.33	DEL	16	3.1%	No
PRR26	1.957e-5	10p15.3	AMP	16	3.1%	No
FRG2B	4.379e-20	10q26.3	DEL	16	3.1%	No
GALNTL6		4q34.1	DEL	16	3.1%	No
IGFL4		19q13.32	DEL	16	3.1%	No
SPRN	4.379e-20	10q26.3	DEL	16	3.1%	No
TPRX2P		19q13.33	DEL	16	3.1%	No
LINGO3		19p13.3	AMP	16	3.1%	No
PRB2		12p13.2	AMP	16	3.1%	No
SNORD65	8.736e-18	17p11.2	DEL	16	3.1%	No
CCDC61		19q13.32	DEL	16	3.1%	No
MTRNR2L10		Xp11.21	AMP	16	3.1%	No
FSBP		8q22.1	AMP	16	3.1%	No
RNA5SP171		4q32.3	DEL	16	3.1%	No
RNA5SP173	8.736e-18	4q34.3	DEL	16	3.1%	No
RNA5SP172		4q34.3	DEL	16	3.1%	No
RNA5SP297	1.957e-5	10p15.3	AMP	16	3.1%	No
RN7SKP136		4q34.3	DEL	16	3.1%	No
RN7SL477P		19p13.3	AMP	16	3.1%	No
RN7SL754P	1.957e-5	10p15.3	AMP	16	3.1%	No
RNA5SP298	1.957e-5	10p15.3	AMP	16	3.1%	No
RN7SKP120		9p21.3	DEL	16	3.1%	No
RN7SL28P		4q35.1	DEL	16	3.1%	No
RMRPP5		9p21.3	DEL	16	3.1%	No
MIR-4276/4276			DEL	15	2.9%	No
MIR-320E/320E			DEL	15	2.9%	No
MIR-3191/3191			DEL	15	2.9%	No
APOC1P1		19q13.32	DEL	15	2.9%	No
APOC2		19q13.32	DEL	15	2.9%	No
APOC4		19q13.32	DEL	15	2.9%	No
ARCN1		11q23.3	AMP	15	2.9%	No
BCAT2		19q13.33	DEL	15	2.9%	No
C5AR1		19q13.32	DEL	15	2.9%	No
CA11		19q13.33	DEL	15	2.9%	No
CALM3		19q13.32	DEL	15	2.9%	No
RUNX1T1		8q21.3	AMP	15	2.9%	Yes
CD3D		11q23.3	AMP	15	2.9%	No
CD3G		11q23.3	AMP	15	2.9%	No
CGB3		19q13.33	DEL	15	2.9%	No
CEACAMP10		19q13.31	DEL	15	2.9%	No
AP2S1		19q13.32	DEL	15	2.9%	No
CLPTM1		19q13.32	DEL	15	2.9%	No
KLF6	1.957e-5	10p15.2	AMP	15	2.9%	Yes
DBP		19q13.33	DEL	15	2.9%	No
AKR1C1	1.957e-5	10p15.1	AMP	15	2.9%	No
AKR1C2	1.957e-5	10p15.1	AMP	15	2.9%	No
DDX6		11q23.3	AMP	15	2.9%	Yes
DMRT1		9p24.3	DEL	15	2.9%	No
EMP3		19q13.33	DEL	15	2.9%	No
FTL		19q13.33	DEL	15	2.9%	No
FUT1		19q13.33	DEL	15	2.9%	No
FUT2		19q13.33	DEL	15	2.9%	No
GIPR		19q13.32	DEL	15	2.9%	No
GPR4		19q13.32	DEL	15	2.9%	No
GRB2	1.520e-5	17q25.1	AMP	15	2.9%	No
GRIN2D		19q13.33	DEL	15	2.9%	No
ARHGAP35		19q13.32	DEL	15	2.9%	Yes
GYS1		19q13.33	DEL	15	2.9%	No
GYS2		12p12.1	AMP	15	2.9%	No
HPGD		4q34.1	DEL	15	2.9%	No
HRC		19q13.33	DEL	15	2.9%	No
KCNA7		19q13.33	DEL	15	2.9%	No
KCNJ14		19q13.33	DEL	15	2.9%	No
KDR		4q12	AMP	15	2.9%	Yes
KIF5A		12q13.3	AMP	15	2.9%	No
KIT		4q12	AMP	15	2.9%	Yes
LHB		19q13.33	DEL	15	2.9%	No
KMT2A		11q23.3	AMP	15	2.9%	Yes
NPAS1		19q13.32	DEL	15	2.9%	No
NTF4		19q13.33	DEL	15	2.9%	No
NUCB1		19q13.33	DEL	15	2.9%	No
PDE4A		19p13.2	AMP	15	2.9%	No
PFKP	1.957e-5	10p15.2	AMP	15	2.9%	No
PIK3C2G		12p12.3	AMP	15	2.9%	Yes
PLAUR		19q13.31	DEL	15	2.9%	No
PPP5C		19q13.32	DEL	15	2.9%	No
PSG1		19q13.2	DEL	15	2.9%	No
PSG2		19q13.31	DEL	15	2.9%	No
PSG3		19q13.2	DEL	15	2.9%	No
PSG4		19q13.31	DEL	15	2.9%	No
PSG5		19q13.31	DEL	15	2.9%	No
PSG6		19q13.31	DEL	15	2.9%	No
PSG7		19q13.31	DEL	15	2.9%	No
PSG9		19q13.31	DEL	15	2.9%	No
PSG11		19q13.31	DEL	15	2.9%	No
PTGIR		19q13.32	DEL	15	2.9%	No
PTMA		2q37.1	DEL	15	2.9%	No
RECQL		12p12.1	AMP	15	2.9%	Yes
RPL18		19q13.33	DEL	15	2.9%	No
SELENOW		19q13.33	DEL	15	2.9%	No
SGTA		19p13.3	AMP	15	2.9%	No
SLC1A5		19q13.32	DEL	15	2.9%	No
SLC8A2		19q13.32	DEL	15	2.9%	No
SNRNP70		19q13.33	DEL	15	2.9%	No
SNRPD2		19q13.32	DEL	15	2.9%	No
SORL1	6.100e-5	11q24.1	AMP	15	2.9%	No
SULT2B1		19q13.33	DEL	15	2.9%	No
SULT2A1		19q13.33	DEL	15	2.9%	No
TBXA2R		19p13.3	AMP	15	2.9%	No
TULP2		19q13.33	DEL	15	2.9%	No
XRCC1		19q13.31	DEL	15	2.9%	No
ZNF45		19q13.31	DEL	15	2.9%	No
ZNF221		19q13.31	DEL	15	2.9%	No
ZNF222		19q13.31	DEL	15	2.9%	No
ZNF155		19q13.31	DEL	15	2.9%	No
ZNF223		19q13.31	DEL	15	2.9%	No
ZNF229		19q13.31	DEL	15	2.9%	No
ZNF230		19q13.31	DEL	15	2.9%	No
GLRA3		4q34.1	DEL	15	2.9%	No
PPFIA3		19q13.33	DEL	15	2.9%	No
NAPA		19q13.32-q13.33	DEL	15	2.9%	No
SAP30		4q34.1	DEL	15	2.9%	No
CYTH2		19q13.33	DEL	15	2.9%	No
SNORD27	2.811e-14	11q12.3	DEL	15	2.9%	No
UBE4A		11q23.3	AMP	15	2.9%	No
HAND2		4q34.1	DEL	15	2.9%	No
APBA3		19p13.3	AMP	15	2.9%	No
CLOCK		4q12	AMP	15	2.9%	No
MICAL2		11p15.3	DEL	15	2.9%	No
TMEM94	1.520e-5	17q25.1	AMP	15	2.9%	No
HMG20B		19p13.3	AMP	15	2.9%	No
DCTN2		12q13.3	AMP	15	2.9%	No
ATP5MG		11q23.3	AMP	15	2.9%	No
RUVBL2		19q13.33	DEL	15	2.9%	No
KDELR1		19q13.33	DEL	15	2.9%	No
ADAM29		4q34.1	DEL	15	2.9%	No
KPTN		19q13.32	DEL	15	2.9%	No
CDC37		19p13.2	AMP	15	2.9%	No
TREH		11q23.3	AMP	15	2.9%	No
ANXA10		4q32.3	DEL	15	2.9%	No
SCRG1		4q34.1	DEL	15	2.9%	No
PALLD		4q32.3	DEL	15	2.9%	No
KDM4C		9p24.1	DEL	15	2.9%	Yes
PHLDB1		11q23.3	AMP	15	2.9%	No
PIP5K1C		19p13.3	AMP	15	2.9%	No
FBXO46		19q13.32	DEL	15	2.9%	No
ETHE1		19q13.31	DEL	15	2.9%	No
SYNGR4		19q13.33	DEL	15	2.9%	No
PPP1R15A		19q13.33	DEL	15	2.9%	No
EML2		19q13.32	DEL	15	2.9%	No
PRKD2		19q13.32	DEL	15	2.9%	No
CCDC9		19q13.32	DEL	15	2.9%	No
FGF21		19q13.33	DEL	15	2.9%	No
OR8B8	6.100e-5	11q24.2	AMP	15	2.9%	No
TIMM13		19p13.3	AMP	15	2.9%	No
LYPD3		19q13.31	DEL	15	2.9%	No
BBC3		19q13.32	DEL	15	2.9%	Yes
DKK3		11p15.3	DEL	15	2.9%	No
TJP3		19p13.3	AMP	15	2.9%	No
C5AR2		19q13.32	DEL	15	2.9%	No
NMRK2		19p13.3	AMP	15	2.9%	No
SLCO1B3		12p12.2	AMP	15	2.9%	No
STRN4		19q13.32	DEL	15	2.9%	No
SLC39A3		19p13.3	AMP	15	2.9%	No
NOP53		19q13.33	DEL	15	2.9%	No
GOLT1B		12p12.1	AMP	15	2.9%	No
HSD17B14		19q13.33	DEL	15	2.9%	No
SPA17	6.100e-5	11q24.2	AMP	15	2.9%	No
SIAE	6.100e-5	11q24.2	AMP	15	2.9%	No
SPIN2A		Xp11.21	AMP	15	2.9%	No
TRPM4		19q13.33	DEL	15	2.9%	No
QPCTL		19q13.32	DEL	15	2.9%	No
FAM83E		19q13.33	DEL	15	2.9%	No
RASIP1		19q13.33	DEL	15	2.9%	No
TMEM160		19q13.32	DEL	15	2.9%	No
C19ORF73		19q13.33	DEL	15	2.9%	No
PNMA8A		19q13.32	DEL	15	2.9%	No
TMEM143		19q13.33	DEL	15	2.9%	No
DDX60		4q32.3	DEL	15	2.9%	No
PARVA		11p15.3	DEL	15	2.9%	No
TMEM165		4q12	AMP	15	2.9%	No
CABP5		19q13.33	DEL	15	2.9%	No
SPHK2		19q13.33	DEL	15	2.9%	No
IFT46		11q23.3	AMP	15	2.9%	No
MEIS3		19q13.32	DEL	15	2.9%	No
CD177		19q13.31	DEL	15	2.9%	No
PNMA8B		19q13.32	DEL	15	2.9%	No
PLEKHA4		19q13.33	DEL	15	2.9%	No
CACTIN		19p13.3	AMP	15	2.9%	No
SLC25A19	1.520e-5	17q25.1	AMP	15	2.9%	No
SPCS3		4q34.2	DEL	15	2.9%	No
ELSPBP1		19q13.33	DEL	15	2.9%	No
LIN7B		19q13.33	DEL	15	2.9%	No
HIF3A		19q13.32	DEL	15	2.9%	No
FKRP		19q13.32	DEL	15	2.9%	No
ZNF576		19q13.31	DEL	15	2.9%	No
SRD5A3		4q12	AMP	15	2.9%	No
SPX		12p12.1	AMP	15	2.9%	No
CEP44		4q34.1	DEL	15	2.9%	No
AKR1E2	1.957e-5	10p15.1	AMP	15	2.9%	No
TEX101		19q13.31	DEL	15	2.9%	No
GRWD1		19q13.33	DEL	15	2.9%	No
CCDC8		19q13.32	DEL	15	2.9%	No
ZNF541		19q13.33	DEL	15	2.9%	No
LMNB2		19p13.3	AMP	15	2.9%	No
RAX2		19p13.3	AMP	15	2.9%	No
TMEM25		11q23.3	AMP	15	2.9%	No
TBRG1	6.100e-5	11q24.2	AMP	15	2.9%	No
MICALCL		11p15.3	DEL	15	2.9%	No
UBASH3B	6.100e-5	11q24.1	AMP	15	2.9%	No
ATCAY		19p13.3	AMP	15	2.9%	No
DDX60L		4q32.3	DEL	15	2.9%	No
CCDC114		19q13.33	DEL	15	2.9%	No
CGB5		19q13.33	DEL	15	2.9%	No
CGB7		19q13.33	DEL	15	2.9%	No
CGB8		19q13.33	DEL	15	2.9%	No
GNG8		19q13.32	DEL	15	2.9%	No
CGB1		19q13.33	DEL	15	2.9%	No
CGB2		19q13.33	DEL	15	2.9%	No
LMTK3		19q13.33	DEL	15	2.9%	No
PANX3	6.100e-5	11q24.2	AMP	15	2.9%	No
MRPL54		19p13.3	AMP	15	2.9%	No
JAML		11q23.3	AMP	15	2.9%	No
NTN5		19q13.33	DEL	15	2.9%	No
IRGQ		19q13.31	DEL	15	2.9%	No
ZNF428		19q13.31	DEL	15	2.9%	No
MFSD12		19p13.3	AMP	15	2.9%	No
GIPC3		19p13.3	AMP	15	2.9%	No
PDCL2		4q12	AMP	15	2.9%	No
TTC36		11q23.3	AMP	15	2.9%	No
DACT3		19q13.32	DEL	15	2.9%	No
DIRAS1		19p13.3	AMP	15	2.9%	No
FAM218A		4q32.3	DEL	15	2.9%	No
FAAH2		Xp11.21	AMP	15	2.9%	No
TRIM60		4q32.3	DEL	15	2.9%	No
SPIN3		Xp11.21	AMP	15	2.9%	No
SPACA4		19q13.33	DEL	15	2.9%	No
MPZL3		11q23.3	AMP	15	2.9%	No
CADM4		19q13.31	DEL	15	2.9%	No
TMEM192		4q32.3	DEL	15	2.9%	No
OR8B12	6.100e-5	11q24.2	AMP	15	2.9%	No
INAFM1		19q13.32	DEL	15	2.9%	No
STK32C	4.379e-20	10q26.3	DEL	15	2.9%	No
OR8D1	6.100e-5	11q24.2	AMP	15	2.9%	No
OR8D2	6.100e-5	11q24.2	AMP	15	2.9%	No
OR8B4	6.100e-5	11q24.2	AMP	15	2.9%	No
ZNF575		19q13.31	DEL	15	2.9%	No
TPRX1		19q13.33	DEL	15	2.9%	No
MAMSTR		19q13.33	DEL	15	2.9%	No
IZUMO1		19q13.33	DEL	15	2.9%	No
TRIQK		8q22.1	AMP	15	2.9%	No
SLCO1B7		12p12.2	AMP	15	2.9%	No
ZNF404		19q13.31	DEL	15	2.9%	No
TMPRSS9		19p13.3	AMP	15	2.9%	No
IGFL1		19q13.32	DEL	15	2.9%	No
CEACAM22P		19q13.31	DEL	15	2.9%	No
C8ORF87		8q22.1	AMP	15	2.9%	No
OR8A1	6.100e-5	11q24.2	AMP	15	2.9%	No
PINLYP		19q13.31	DEL	15	2.9%	No
TRIM61		4q32.3	DEL	15	2.9%	No
PSG8		19q13.2	DEL	15	2.9%	No
HSP90AA6P		4q33	DEL	15	2.9%	No
SPIN2B		Xp11.21	AMP	15	2.9%	No
PSG10P		19q13.2	DEL	15	2.9%	No
PHLDB3		19q13.31	DEL	15	2.9%	No
SEC1P		19q13.33	DEL	15	2.9%	No
BSPH1		19q13.33	DEL	15	2.9%	No
SRRM5		19q13.31	DEL	15	2.9%	No
RNY4P17		4q32.3	DEL	15	2.9%	No
PPP5D1		19q13.32	DEL	15	2.9%	No
LINC00703	1.957e-5	10p15.1	AMP	15	2.9%	No
RNA5SP274		8q22.1	AMP	15	2.9%	No
RNA5SP352	6.100e-5	11q24.2	AMP	15	2.9%	No
RN7SKP30		4q12	AMP	15	2.9%	No
RN7SKP188		4q32.3	DEL	15	2.9%	No
RN7SKP231		8q21.3	AMP	15	2.9%	No
RN7SL67P		12p12.3	AMP	15	2.9%	No
RN7SL202P		19p13.3	AMP	15	2.9%	No
RN7SL253P		4q34.1	DEL	15	2.9%	No
RN7SL322P		19q13.33	DEL	15	2.9%	No
RN7SL364P		19q13.32	DEL	15	2.9%	No
RN7SL368P		19q13.31	DEL	15	2.9%	No
RN7SL708P		19q13.33	DEL	15	2.9%	No
